ref_date,yield_bid,price_bid,asset_code,matur_date,prazo_anos
2019-01-25,0.042199999999999994,2517.44,NTN-B Principal 150824,2024-08-15,5.555099247091033
2019-01-28,0.0424,2515.5,NTN-B Principal 150824,2024-08-15,5.546885694729637
2019-01-29,0.042,2521.57,NTN-B Principal 150824,2024-08-15,5.544147843942505
2019-01-30,0.0414,2530.33,NTN-B Principal 150824,2024-08-15,5.541409993155373
2019-01-31,0.041100000000000005,2535.08,NTN-B Principal 150824,2024-08-15,5.538672142368241
2019-02-01,0.040999999999999995,2537.78,NTN-B Principal 150824,2024-08-15,5.535934291581109
2019-02-04,0.040999999999999995,2538.51,NTN-B Principal 150824,2024-08-15,5.5277207392197125
2019-02-05,0.0414,2533.87,NTN-B Principal 150824,2024-08-15,5.5249828884325805
2019-02-06,0.0418,2529.24,NTN-B Principal 150824,2024-08-15,5.522245037645448
2019-02-07,0.042,2527.31,NTN-B Principal 150824,2024-08-15,5.519507186858316
2019-02-08,0.0421,2525.8,NTN-B Principal 150824,2024-08-15,5.516769336071184
2019-02-11,0.042800000000000005,2517.18,NTN-B Principal 150824,2024-08-15,5.508555783709788
2019-02-12,0.0421,2527.15,NTN-B Principal 150824,2024-08-15,5.505817932922656
2019-02-13,0.0416,2534.48,NTN-B Principal 150824,2024-08-15,5.503080082135524
2019-02-14,0.0412,2540.49,NTN-B Principal 150824,2024-08-15,5.500342231348392
2019-02-15,0.0407,2548.51,NTN-B Principal 150824,2024-08-15,5.49760438056126
2019-02-18,0.0407,2549.23,NTN-B Principal 150824,2024-08-15,5.489390828199863
2019-02-19,0.0406,2551.27,NTN-B Principal 150824,2024-08-15,5.486652977412731
2019-02-20,0.0406,2551.99,NTN-B Principal 150824,2024-08-15,5.4839151266255985
2019-02-21,0.0417,2538.03,NTN-B Principal 150824,2024-08-15,5.4811772758384665
2019-02-22,0.0417,2539.36,NTN-B Principal 150824,2024-08-15,5.478439425051334
2019-02-25,0.041100000000000005,2548.07,NTN-B Principal 150824,2024-08-15,5.470225872689938
2019-02-26,0.0417,2540.8,NTN-B Principal 150824,2024-08-15,5.467488021902806
2019-02-27,0.0416,2542.85,NTN-B Principal 150824,2024-08-15,5.464750171115674
2019-02-28,0.0415,2544.9,NTN-B Principal 150824,2024-08-15,5.462012320328542
2019-03-01,0.0418,2542.87,NTN-B Principal 150824,2024-08-15,5.45927446954141
2019-03-06,0.04190000000000001,2542.27,NTN-B Principal 150824,2024-08-15,5.44558521560575
2019-03-07,0.0414,2549.62,NTN-B Principal 150824,2024-08-15,5.4428473648186175
2019-03-08,0.041299999999999996,2552.29,NTN-B Principal 150824,2024-08-15,5.4401095140314855
2019-03-11,0.0406,2562.32,NTN-B Principal 150824,2024-08-15,5.431895961670089
2019-03-12,0.04019999999999999,2570.51,NTN-B Principal 150824,2024-08-15,5.429158110882957
2019-03-13,0.0401,2572.65,NTN-B Principal 150824,2024-08-15,5.426420260095825
2019-03-14,0.04,2574.78,NTN-B Principal 150824,2024-08-15,5.423682409308693
2019-03-15,0.0401,2575.01,NTN-B Principal 150824,2024-08-15,5.420944558521561
2019-03-18,0.039599999999999996,2582.5,NTN-B Principal 150824,2024-08-15,5.412731006160164
2019-03-19,0.0391,2590,NTN-B Principal 150824,2024-08-15,5.409993155373032
2019-03-20,0.0391,2590.78,NTN-B Principal 150824,2024-08-15,5.4072553045859
2019-03-21,0.039,2592.91,NTN-B Principal 150824,2024-08-15,5.404517453798768
2019-03-22,0.0406,2573.09,NTN-B Principal 150824,2024-08-15,5.401779603011636
2019-03-25,0.0416,2560.63,NTN-B Principal 150824,2024-08-15,5.393566050650239
2019-03-26,0.0406,2574.68,NTN-B Principal 150824,2024-08-15,5.390828199863107
2019-03-27,0.042,2558.13,NTN-B Principal 150824,2024-08-15,5.388090349075975
2019-03-28,0.0429,2547.2,NTN-B Principal 150824,2024-08-15,5.385352498288843
2019-03-29,0.040999999999999995,2574.09,NTN-B Principal 150824,2024-08-15,5.382614647501711
2019-04-01,0.0405,2581.62,NTN-B Principal 150824,2024-08-15,5.374401095140315
2019-04-02,0.0407,2579.85,NTN-B Principal 150824,2024-08-15,5.371663244353183
2019-04-03,0.0403,2586.05,NTN-B Principal 150824,2024-08-15,5.368925393566051
2019-04-04,0.0408,2580.3,NTN-B Principal 150824,2024-08-15,5.366187542778919
2019-04-05,0.0405,2586.13,NTN-B Principal 150824,2024-08-15,5.363449691991787
2019-04-08,0.0405,2587.03,NTN-B Principal 150824,2024-08-15,5.3552361396303905
2019-04-09,0.041100000000000005,2579.97,NTN-B Principal 150824,2024-08-15,5.352498288843258
2019-04-10,0.0415,2579.38,NTN-B Principal 150824,2024-08-15,5.349760438056126
2019-04-11,0.0421,2572.51,NTN-B Principal 150824,2024-08-15,5.347022587268994
2019-04-12,0.042300000000000004,2572.17,NTN-B Principal 150824,2024-08-15,5.344284736481861
2019-04-15,0.0421,2575.68,NTN-B Principal 150824,2024-08-15,5.336071184120465
2019-04-16,0.042,2577.88,NTN-B Principal 150824,2024-08-15,5.333333333333333
2019-04-17,0.042,2578.76,NTN-B Principal 150824,2024-08-15,5.330595482546201
2019-04-18,0.0417,2584.98,NTN-B Principal 150824,2024-08-15,5.327857631759069
2019-04-22,0.0415,2588.5,NTN-B Principal 150824,2024-08-15,5.316906228610541
2019-04-23,0.0414,2590.7,NTN-B Principal 150824,2024-08-15,5.314168377823409
2019-04-24,0.0409,2598.18,NTN-B Principal 150824,2024-08-15,5.3114305270362765
2019-04-25,0.0417,2588.51,NTN-B Principal 150824,2024-08-15,5.308692676249144
2019-04-26,0.0416,2592.49,NTN-B Principal 150824,2024-08-15,5.305954825462012
2019-04-29,0.040999999999999995,2601.34,NTN-B Principal 150824,2024-08-15,5.297741273100616
2019-04-30,0.040999999999999995,2602.81,NTN-B Principal 150824,2024-08-15,5.295003422313484
2019-05-02,0.0412,2601.11,NTN-B Principal 150824,2024-08-15,5.28952772073922
2019-05-03,0.0409,2607.07,NTN-B Principal 150824,2024-08-15,5.286789869952088
2019-05-06,0.0404,2614.62,NTN-B Principal 150824,2024-08-15,5.278576317590692
2019-05-07,0.0404,2615.56,NTN-B Principal 150824,2024-08-15,5.27583846680356
2019-05-08,0.0404,2616.5,NTN-B Principal 150824,2024-08-15,5.2731006160164275
2019-05-09,0.04019999999999999,2620.09,NTN-B Principal 150824,2024-08-15,5.270362765229295
2019-05-10,0.0398,2626.42,NTN-B Principal 150824,2024-08-15,5.2676249144421625
2019-05-13,0.0401,2623.35,NTN-B Principal 150824,2024-08-15,5.259411362080766
2019-05-14,0.039900000000000005,2626.9,NTN-B Principal 150824,2024-08-15,5.256673511293634
2019-05-15,0.039,2639.5,NTN-B Principal 150824,2024-08-15,5.253935660506502
